ID	Area	MinFeret	EQPC
1620	0.177	0.421	0.474724551
1621	0.355	0.421	0.672309481
1622	0.177	0.421	0.474724551
1623	0.177	0.421	0.474724551
1624	0.709	0.842	0.950119381
1625	1.773	1.489	1.502482517
1626	0.177	0.421	0.474724551
1627	0.177	0.421	0.474724551
1628	0.886	0.842	1.062115924
1629	0.886	1.191	1.062115924
1630	0.177	0.421	0.474724551
1631	0.177	0.421	0.474724551
1632	0.532	0.421	0.823020922
1633	5.319	2.064	2.602376056
1634	0.177	0.421	0.474724551
1635	3.9	2.084	2.228370307
1636	2.837	1.786	1.900573752
1637	0.177	0.421	0.474724551
1638	0.177	0.421	0.474724551
1639	0.177	0.421	0.474724551
1640	0.177	0.421	0.474724551
1641	0.177	0.421	0.474724551
1642	0.355	0.421	0.672309481
1643	8.332	3.578	3.257089481
1644	1.064	1.13	1.16392735
1645	0.355	0.595	0.672309481
1646	0.886	0.893	1.062115924
1647	6.205	2.526	2.810774159
1648	0.177	0.421	0.474724551
1649	4.609	2.105	2.422470033
1650	8.51	2.947	3.291696907
1651	1.418	1.263	1.343671714
1652	5.673	2.448	2.687580313
1653	6.914	2.526	2.967015034
1654	0.177	0.421	0.474724551
1655	0.177	0.421	0.474724551
1656	1.064	1.13	1.16392735
1657	0.177	0.421	0.474724551
1658	1.241	1.263	1.257016418
1659	0.177	0.421	0.474724551
1660	0.177	0.421	0.474724551
1661	0.709	0.817	0.950119381
1662	0.177	0.421	0.474724551
1663	0.177	0.421	0.474724551
1664	0.177	0.421	0.474724551
1665	9.573	3.368	3.491235048
1666	0.177	0.421	0.474724551
1667	0.177	0.421	0.474724551
1668	1.418	1.263	1.343671714
1669	0.177	0.421	0.474724551
1670	1.064	1.263	1.16392735
1671	0.709	0.842	0.950119381
1672	1.95	1.489	1.575695755
1673	0.177	0.421	0.474724551
1674	4.255	2.448	2.327581204
1675	0.177	0.421	0.474724551
1676	0.177	0.421	0.474724551
1677	44.499	7.801	7.527143316
1678	2.305	1.489	1.713130804
1679	1.418	1.263	1.343671714
1680	6.56	2.526	2.890060798
1681	0.177	0.421	0.474724551
1682	0.177	0.421	0.474724551
1683	2.837	1.684	1.900573752
1684	0.177	0.421	0.474724551
1685	0.177	0.421	0.474724551
1686	0.177	0.421	0.474724551
1687	4.964	2.382	2.514032836
1688	0.886	1.13	1.062115924
1689	0.177	0.421	0.474724551
1690	0.177	0.421	0.474724551
1691	6.56	2.526	2.890060798
1692	0.177	0.421	0.474724551
1693	0.177	0.421	0.474724551
1694	7.446	2.89	3.079048822
1695	0.355	0.421	0.672309481
1696	0.177	0.421	0.474724551
1697	13.474	4.211	4.141935493
1698	17.019	4.466	4.655025651
1699	0.177	0.421	0.474724551
1700	0.177	0.421	0.474724551
1701	1.596	1.489	1.425514052
1702	0.177	0.421	0.474724551
1703	5.319	2.382	2.602376056
1704	0.532	0.753	0.823020922
1705	0.177	0.421	0.474724551
1706	1.064	1.191	1.16392735
1707	0.886	0.893	1.062115924
1708	0.177	0.421	0.474724551
1709	4.432	1.997	2.375499455
1710	0.886	0.893	1.062115924
1711	0.709	0.893	0.950119381
1712	2.127	1.489	1.64565504
1713	1.418	1.263	1.343671714
1714	0.177	0.421	0.474724551
1715	0.355	0.421	0.672309481
1716	0.177	0.421	0.474724551
1717	0.177	0.421	0.474724551
1718	0.886	0.842	1.062115924
1719	0.177	0.421	0.474724551
1720	0.177	0.421	0.474724551
1721	0.177	0.421	0.474724551
1722	0.177	0.421	0.474724551
1723	18.438	4.632	4.845202857
1724	0.177	0.421	0.474724551
1725	0.177	0.421	0.474724551
1726	0.177	0.421	0.474724551
1727	0.709	0.842	0.950119381
1728	0.177	0.421	0.474724551
1729	0.177	0.421	0.474724551
1730	0.177	0.421	0.474724551
1731	1.241	1.263	1.257016418
1732	0.177	0.421	0.474724551
1733	0.177	0.421	0.474724551
1734	1.773	1.684	1.502482517
1735	0.177	0.421	0.474724551
1736	0.177	0.421	0.474724551
1737	0.532	0.753	0.823020922
1738	0.177	0.421	0.474724551
1739	1.064	1.191	1.16392735
1740	0.177	0.421	0.474724551
1741	0.177	0.421	0.474724551
1742	0.177	0.421	0.474724551
1743	0.177	0.421	0.474724551
1744	0.177	0.421	0.474724551
1745	0.177	0.421	0.474724551
1746	1.418	1.263	1.343671714
1747	0.886	1.191	1.062115924
1748	1.418	1.263	1.343671714
1749	0.177	0.421	0.474724551
1750	4.255	2.071	2.327581204
1751	1.95	1.684	1.575695755
1752	0.177	0.421	0.474724551
1753	0.177	0.421	0.474724551
1754	1.064	0.842	1.16392735
1755	1.596	1.684	1.425514052
1756	44.144	6.591	7.497058521
1757	0.355	0.421	0.672309481
1758	0.177	0.421	0.474724551
1759	4.078	2.451	2.278655495
1760	0.177	0.421	0.474724551
1761	1.064	0.932	1.16392735
1762	0.355	0.421	0.672309481
1763	0.177	0.421	0.474724551
1764	0.177	0.421	0.474724551
1765	0.886	1.13	1.062115924
1766	0.532	0.421	0.823020922
1767	0.177	0.421	0.474724551
1768	0.532	0.595	0.823020922
1769	2.305	1.263	1.713130804
1770	1.773	1.489	1.502482517
1771	0.532	0.421	0.823020922
1772	30.493	6.924	6.230962481
1773	0.177	0.421	0.474724551
1774	0.177	0.421	0.474724551
1775	0.177	0.421	0.474724551
1776	11.346	3.87	3.800812528
1777	0.177	0.421	0.474724551
1778	0.177	0.421	0.474724551
1779	0.709	0.421	0.950119381
1780	0.177	0.421	0.474724551
1781	0.532	0.421	0.823020922
1782	0.886	0.942	1.062115924
1783	0.177	0.421	0.474724551
1784	0.177	0.421	0.474724551
1785	0.177	0.421	0.474724551
1786	5.319	2.105	2.602376056
1787	0.709	0.842	0.950119381
1788	0.532	0.842	0.823020922
1789	0.177	0.421	0.474724551
1790	0.177	0.421	0.474724551
1791	3.546	2.448	2.124831152
1792	0.886	0.842	1.062115924
1793	0.355	0.421	0.672309481
1794	0.177	0.421	0.474724551
1795	0.177	0.421	0.474724551
1796	0.355	0.421	0.672309481
1797	0.177	0.421	0.474724551
1798	10.637	3.368	3.680142529
1799	0.177	0.421	0.474724551
1800	0.177	0.421	0.474724551
1801	57.795	7.7	8.578279518
1802	19.679	4.948	5.005604959
1803	0.886	0.842	1.062115924
1804	0.532	0.421	0.823020922
1805	0.177	0.421	0.474724551
1806	0.355	0.421	0.672309481
1807	0.177	0.421	0.474724551
1808	0.177	0.421	0.474724551
1809	0.709	0.842	0.950119381
1810	0.177	0.421	0.474724551
1811	0.177	0.421	0.474724551
1812	1.418	1.263	1.343671714
1813	0.177	0.421	0.474724551
1814	0.177	0.421	0.474724551
1815	0.177	0.421	0.474724551
1816	0.355	0.421	0.672309481
1817	0.709	0.842	0.950119381
1818	0.886	0.842	1.062115924
1819	0.177	0.421	0.474724551
1820	1.241	0.842	1.257016418
1821	0.177	0.421	0.474724551
1822	0.177	0.421	0.474724551
1823	0.177	0.421	0.474724551
1824	5.673	2.448	2.687580313
1825	0.886	0.893	1.062115924
1826	0.355	0.421	0.672309481
1827	0.177	0.421	0.474724551
1828	0.532	0.753	0.823020922
1829	1.418	1.263	1.343671714
1830	0.177	0.421	0.474724551
1831	1.241	1.263	1.257016418
1832	0.177	0.421	0.474724551
1833	0.355	0.421	0.672309481
1834	0.177	0.421	0.474724551
1835	0.532	0.421	0.823020922
1836	1.064	1.191	1.16392735
1837	4.787	2.825	2.468804913
1838	0.709	0.421	0.950119381
1839	0.177	0.421	0.474724551
1840	0.177	0.421	0.474724551
1841	0.177	0.421	0.474724551
1842	0.177	0.421	0.474724551
1843	3.368	2.105	2.07081404
1844	0.532	0.421	0.823020922
1845	0.709	0.842	0.950119381
1846	5.141	2.68	2.558461354
1847	0.177	0.421	0.474724551
1848	2.305	1.489	1.713130804
1849	0.177	0.421	0.474724551
1850	0.177	0.421	0.474724551
1851	0.177	0.421	0.474724551
1852	0.532	0.421	0.823020922
1853	0.177	0.421	0.474724551
1854	0.177	0.421	0.474724551
1855	1.241	1.263	1.257016418
1856	0.177	0.421	0.474724551
1857	0.177	0.421	0.474724551
1858	0.886	1.13	1.062115924
1859	2.482	1.883	1.777689666
1860	0.355	0.421	0.672309481
1861	0.177	0.421	0.474724551
1862	6.914	2.89	2.967015034
1863	4.609	2.526	2.422470033
1864	0.177	0.421	0.474724551
1865	0.177	0.421	0.474724551
1866	1.773	1.489	1.502482517
1867	0.177	0.421	0.474724551
1868	0.532	0.842	0.823020922
1869	0.177	0.421	0.474724551
1870	0.177	0.421	0.474724551
1871	0.177	0.421	0.474724551
1872	0.532	0.595	0.823020922
1873	0.355	0.421	0.672309481
1874	0.177	0.421	0.474724551
1875	3.014	1.684	1.95896503
1876	0.177	0.421	0.474724551
1877	0.177	0.421	0.474724551
1878	7.269	3.716	3.042232445
1879	2.305	1.684	1.713130804
1880	0.177	0.421	0.474724551
1881	0.177	0.421	0.474724551
1882	1.418	1.263	1.343671714
1883	0.886	1.191	1.062115924
1884	0.177	0.421	0.474724551
1885	9.573	3.827	3.491235048
1886	0.177	0.421	0.474724551
1887	0.355	0.595	0.672309481
1888	0.177	0.421	0.474724551
1889	0.886	1.191	1.062115924
1890	0.177	0.421	0.474724551
1891	0.355	0.421	0.672309481
1892	0.177	0.421	0.474724551
1893	0.886	1.263	1.062115924
1894	0.177	0.421	0.474724551
1895	0.355	0.421	0.672309481
1896	0.177	0.421	0.474724551
1897	0.355	0.421	0.672309481
1898	0.177	0.421	0.474724551
1899	4.964	2.737	2.514032836
1900	0.355	0.421	0.672309481
1901	0.355	0.421	0.672309481
1902	2.659	1.786	1.839984769
1903	0.177	0.421	0.474724551
1904	4.255	2.105	2.327581204
1905	0.532	0.753	0.823020922
1906	0.532	0.421	0.823020922
1907	0.355	0.421	0.672309481
1908	1.418	1.263	1.343671714
1909	2.127	1.263	1.64565504
1910	0.532	0.421	0.823020922
1911	3.191	2.084	2.015665495
1912	5.496	2.68	2.645321254
